Haplogroup,PCoA1,PCoA2,VectorLength
O2a,-0.9540330183990042,-0.16674017395855975,0.9684943395845149
D1a,0.771029470946148,-0.57274564974431,0.9604811421202025
O1b,0.3992613115897518,0.8085900247742726,0.9017912303281883
O1a,0.25669846969449794,0.8539472665890642,0.8916950366904771
T1,0.5549770867656055,-0.5144441139639836,0.7567379422409231
